"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-300203","Po karanténe","Odbery, rozbory a vyhodnotenia vzoriek pitnej vody ÚZ Tatranská Javorina","Odbery, rozbory a vyhodnotenia vzoriek pitnej vody","85111820-4 Služby týkajúce sa bakteriologického rozboru","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300203","1","0",
"OF-300205","Po karanténe","Kontroly hasiacich prístrojov","Kontroly hasiacich prístrojov, revízia hasiacich prístrojov","71356100-9 Technická kontrola; 35111320-4 Prenosné hasiace prístroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba; Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300205","1","0",
"OF-300206","Po karanténe","Tonerové náplne, obrátkový tovar","tonery do laserových tlačiarní a kopírovacích strojov, obrátkový tovar","30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 30125100-2 Tonerové náplne; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300206","0","0",
"OF-300207","Po karanténe","Nafta motorová dovozom cisternami","nafta motorová","09134100-8 Motorová nafta; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300207","1","0",
"OF-300209","Po karanténe","Náterové hmoty, farby a riedidlá - farba","náterové hmoty, farby","24200000-6 Farby a pigmenty; 44810000-1 Náterové farby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300209","1","0",
"OF-300210","Po karanténe","Stavebný materiál na reprofiláciu mostov, cement, lepidlá a ostatné_časť 2_Rožňava","stavebný materiál, cement, lepidlá,","44190000-8 Rôzne stavebné materiály; 44192000-2 Iné rôzne stavebné materiály","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300210","0","0",
"OF-300212","Po karanténe","Mrazená zelenina, výrobky a ryby","mrazená zelenina, výrobky a ryby","15331170-9 Mrazená zelenina; 15312000-8 Zemiakové výrobky; 15220000-6 Mrazené ryby, rybie filé a ostatné rybie mäso; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300212","0","0",
"OF-300213","Po karanténe","Náterové hmoty, farby a riedidlá","farby, spreje, riedidlá","44810000-1 Náterové farby; 60000000-8 Dopravné služby (bez prepravy odpadu); 44832200-3 Riedidlá; 44800000-8 Náterové farby, laky a tmely","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300213","1","0",
"OF-300214","Po karanténe","Pneumatika 315/80 R22,5","Pneumatiky.","34352100-0 Pneumatiky pre nákladné vozidlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300214","0","0",
"OF-300217","Po karanténe","Stavebný materiál na reprofiláciu mostov, cement, lepidlá a ostatné_časť 3_Košice okolie","stavebný materiál, cement, lepidlá,","44190000-8 Rôzne stavebné materiály; 44192000-2 Iné rôzne stavebné materiály","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300217","0","0",
"OF-300218","Po karanténe","Stavebný materiál na reprofiláciu mostov, cement, lepidlá a ostatné_časť 4 _Michalovce","stavebný materiál, cement, lepidlá,","44190000-8 Rôzne stavebné materiály; 44192000-2 Iné rôzne stavebné materiály","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300218","0","0",
"OF-300219","Po karanténe","Stavebný materiál na reprofiláciu mostov, cement, lepidlá a ostatné_časť 5_Trebišov","stavebný materiál, cement, lepidlá,","44190000-8 Rôzne stavebné materiály; 44192000-2 Iné rôzne stavebné materiály","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300219","0","0",
"OF-300220","Po karanténe","Mrazená zelenina, výrobky a ryby","mrazená zelenina, výrobky a ryby","15331170-9 Mrazená zelenina; 15312000-8 Zemiakové výrobky; 15220000-6 Mrazené ryby, rybie filé a ostatné rybie mäso; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300220","1","0",
"OF-300223","Po karanténe","Pamätné plakety","plakety, mince,","22462000-6 Propagačný materiál; 39294100-0 Informačné a propagačné výrobky; 22000000-0 Tlačené výrobky a príbuzné produkty; 18512000-1 Mince a medaily; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300223","0","0",
"OF-300224","Po karanténe","Lieky","lieky, liečivo","33690000-3 Rôzne liečivá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300224","1","0",
"OF-300225","Po karanténe","Športové a rekreačné vybavenie ","Stopky digitálne, Píšťalka kovová, Bedmintonová raketa, Stolnotenisová raketa, Raketa na squash, Švihadlo, Sieť na stolný tenis, Hustilka (pumpa), Ihla do hustilky, Košik na bedminton, 	Lopta futbalová, Lopta futbalová do haly, Lopta na volejbal, Loptička na squash, Loptička na stolný tenis","37441500-6 Švihadlá; 37461500-2 Stoly na stolný tenis; 37410000-5 Výbava pre športy vo voľnej prírode alebo na ihrisku; 37452110-5 Bedmintonové košíky; 37452120-8 Bedmintonové rakety; 37451700-1 Futbalové lopty; 37452900-0 Volejbalové lopty; 37452610-0 Squashové loptičky; 37452620-3 Squashové rakety; 37461510-5 Stolnotenisové loptičky; 37461520-8 Stolnotenisové rakety; 37452710-1 Tenisové loptičky; 18523000-1 Stopky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300225","0","0",
"OF-300226","Po karanténe","Zariadenia a pomôcky na manipuláciu s materiálom","Paletový vozík, Plošinový vozík","42415210-3 Pracovné vozíky opatrené manipulačným zariadením; 42415200-0 Pracovné vozíky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300226","1","0",
"OF-300227","Po karanténe","Zdravotnícky materiál","kanyla, striekačka, podložka, váha, teplomer","33140000-3 Zdravotnícky spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300227","1","0",
"OF-300228","Po karanténe","Náterové hmoty, farby a riedidlá","Náterové hmoty, farby a riedidlá","24200000-6 Farby a pigmenty; 44810000-1 Náterové farby; 44832200-3 Riedidlá; 44832000-1 Rozpúšťadlá; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/300228","1","0",
